actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669.5/LGC,D669.5/LGC,0.9922,True,yellow,边缘 crop 可能截断书号，建议人工复核,,"[0, 848, 8, 124]","[0, 844, 51, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_001.jpg,"[{""variant"": ""current"", ""crop_box"": [0, 844, 51, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_001.jpg"", ""raw_text"": ""D669.5/LGC"", ""clean_text"": ""D669.5/LGC"", ""confidence"": 0.992241, ""parse_ok"": true, ""score"": 234.724, ""selected"": true}]"
2,D669.5/LHH,D669.5/LHH,0.9973,True,green,排序正确,2,"[0, 850, 8, 126]","[44, 844, 47, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_002.jpg,"[{""variant"": ""current"", ""crop_box"": [44, 844, 47, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_002.jpg"", ""raw_text"": ""D669.5/LHH"", ""clean_text"": ""D669.5/LHH"", ""confidence"": 0.997348, ""parse_ok"": true, ""score"": 235.235, ""selected"": true}]"
3,D669.5/LK,D669.5/LK,0.9980,True,green,排序正确,3,"[0, 853, 8, 112]","[80, 844, 47, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_003.jpg,"[{""variant"": ""current"", ""crop_box"": [80, 844, 47, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_003.jpg"", ""raw_text"": ""D669.5/LK"", ""clean_text"": ""D669.5/LK"", ""confidence"": 0.99799, ""parse_ok"": true, ""score"": 234.849, ""selected"": true}, {""variant"": ""crop_original"", ""crop_box"": [80, 844, 47, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_003_crop_original.jpg"", ""raw_text"": ""D669. 5/LK"", ""clean_text"": ""D669.5/LK"", ""confidence"": 0.989648, ""parse_ok"": true, ""score"": 234.015, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [76, 844, 55, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_003_x_expand_10.jpg"", ""raw_text"": ""D669. 5/LK"", ""clean_text"": ""D669.5/LK"", ""confidence"": 0.952448, ""parse_ok"": true, ""score"": 230.295, ""selected"": false}, {""variant"": ""expand_right_22"", ""crop_box"": [80, 844, 57, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_003_expand_right_22.jpg"", ""raw_text"": "" D669. 5/LK"", ""clean_text"": ""D669.5/LK"", ""confidence"": 0.660631, ""parse_ok"": true, ""score"": 201.113, ""selected"": false}, {""variant"": ""expand_left_22"", ""crop_box"": [70, 844, 57, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_003_expand_left_22.jpg"", ""raw_text"": ""D669 5/LK r/I UH"", ""clean_text"": ""D669.5/LKR"", ""confidence"": 0.852871, ""parse_ok"": true, ""score"": 220.787, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [80, 865, 47, 158], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_003_drop_top_red.jpg"", ""raw_text"": ""D669. 5/LK  H"", ""clean_text"": ""D669.5/LKH"", ""confidence"": 0.51828, ""parse_ok"": true, ""score"": 187.328, ""selected"": false}, {""variant"": ""neighbor_midline"", ""crop_box"": [86, 844, 37, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crop_retries\\det_003_neighbor_midline.jpg"", ""raw_text"": ""D669. 5/LK"", ""clean_text"": ""D669.5/LK"", ""confidence"": 0.996652, ""parse_ok"": true, ""score"": 234.715, ""selected"": false}]"
4,D669.6/LNN,D669.6/LNN,0.9973,True,red,推荐位置应为 31,31,"[0, 851, 8, 127]","[118, 844, 49, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_004.jpg,"[{""variant"": ""current"", ""crop_box"": [118, 844, 49, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_004.jpg"", ""raw_text"": ""D669.6/LNN"", ""clean_text"": ""D669.6/LNN"", ""confidence"": 0.997305, ""parse_ok"": true, ""score"": 235.23, ""selected"": true}]"
5,D669.5/LQM,D669.5/LQM,0.9939,True,green,排序正确,4,"[0, 862, 8, 127]","[169, 844, 46, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_005.jpg,"[{""variant"": ""current"", ""crop_box"": [169, 844, 46, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_005.jpg"", ""raw_text"": ""D669.5/LQM"", ""clean_text"": ""D669.5/LQM"", ""confidence"": 0.993872, ""parse_ok"": true, ""score"": 234.887, ""selected"": true}]"
6,D669.5/LRG,D669.5/LRG,0.9984,True,green,排序正确,5,"[0, 855, 8, 126]","[222, 844, 48, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_006.jpg,"[{""variant"": ""current"", ""crop_box"": [222, 844, 48, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_006.jpg"", ""raw_text"": ""D669.5/LRG"", ""clean_text"": ""D669.5/LRG"", ""confidence"": 0.998395, ""parse_ok"": true, ""score"": 235.339, ""selected"": true}]"
7,D669.5/LSZ1,D669.5/LSZ1,0.9921,True,green,排序正确,6,"[0, 835, 8, 141]","[280, 835, 52, 188]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_007.jpg,"[{""variant"": ""current"", ""crop_box"": [280, 835, 52, 188], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_007.jpg"", ""raw_text"": ""D669.5/LSZ1"", ""clean_text"": ""D669.5/LSZ1"", ""confidence"": 0.992089, ""parse_ok"": true, ""score"": 235.159, ""selected"": true}]"
8,D669.5/LWP,D669.5/LWP,0.9853,True,green,排序正确,7,"[0, 854, 8, 132]","[337, 844, 50, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_008.jpg,"[{""variant"": ""current"", ""crop_box"": [337, 844, 50, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_008.jpg"", ""raw_text"": ""D669.5/LWP"", ""clean_text"": ""D669.5/LWP"", ""confidence"": 0.985284, ""parse_ok"": true, ""score"": 234.028, ""selected"": true}]"
9,D669.5/LYJ,D669.5/LYJ,0.9967,True,green,排序正确,8,"[0, 863, 8, 126]","[390, 844, 47, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_009.jpg,"[{""variant"": ""current"", ""crop_box"": [390, 844, 47, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_009.jpg"", ""raw_text"": ""D669.5/LYJ"", ""clean_text"": ""D669.5/LYJ"", ""confidence"": 0.99667, ""parse_ok"": true, ""score"": 235.167, ""selected"": true}]"
10,D669.5/MDT,D669.5/MDT,0.9973,True,green,排序正确,9,"[0, 861, 8, 127]","[449, 844, 45, 179]",stage5_mobile_results\final_demo_results\fine\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_010.jpg,"[{""variant"": ""current"", ""crop_box"": [449, 844, 45, 179], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\35a7ea6497538bff_IMG20260523100857\\crops\\ocr_crop_010.jpg"", ""raw_text"": ""D669.5/MDT"", ""clean_text"": ""D669.5/MDT"", ""confidence"": 0.997329, ""parse_ok"": true, ""score"": 235.233, ""selected"": true}]"
