actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669.3/LJ1,D669.3/LJ1,0.9714,True,green,排序正确,1,"[0, 876, 8, 165]","[5, 866, 50, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_001.jpg,"[{""variant"": ""current"", ""crop_box"": [5, 866, 50, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_001.jpg"", ""raw_text"": ""D669.3/LJ1"", ""clean_text"": ""D669.3/LJ1"", ""confidence"": 0.971378, ""parse_ok"": true, ""score"": 232.638, ""selected"": true}]"
2,"D669,3/LJ2",D669.3/LJ2,0.9457,True,green,排序正确,2,"[0, 872, 8, 162]","[62, 866, 52, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_002.jpg,"[{""variant"": ""current"", ""crop_box"": [62, 866, 52, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_002.jpg"", ""raw_text"": ""D669,3/LJ2"", ""clean_text"": ""D669.3/LJ2"", ""confidence"": 0.945671, ""parse_ok"": true, ""score"": 230.067, ""selected"": true}]"
3,D669.3/LJ4,D669.3/LJ4,0.9949,True,green,排序正确,3,"[0, 871, 8, 161]","[114, 866, 52, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_003.jpg,"[{""variant"": ""current"", ""crop_box"": [114, 866, 52, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_003.jpg"", ""raw_text"": ""D669.3/LJ4"", ""clean_text"": ""D669.3/LJ4"", ""confidence"": 0.994882, ""parse_ok"": true, ""score"": 234.988, ""selected"": true}]"
4,D669.3/LJ5,D669.3/LJ5,0.9831,True,green,排序正确,4,"[0, 883, 8, 138]","[179, 866, 46, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_004.jpg,"[{""variant"": ""current"", ""crop_box"": [179, 866, 46, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_004.jpg"", ""raw_text"": ""D669.3/LJ5"", ""clean_text"": ""D669.3/LJ5"", ""confidence"": 0.983087, ""parse_ok"": true, ""score"": 233.809, ""selected"": true}]"
5,D669.3/LJD2,D669.3/LJD2,0.9952,True,green,排序正确,5,"[0, 884, 8, 162]","[232, 866, 52, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_005.jpg,"[{""variant"": ""current"", ""crop_box"": [232, 866, 52, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_005.jpg"", ""raw_text"": ""D669.3/LJD2"", ""clean_text"": ""D669.3/LJD2"", ""confidence"": 0.995178, ""parse_ok"": true, ""score"": 235.468, ""selected"": true}]"
6,D669.3/LJE,D669.3/LJE,0.9953,True,green,排序正确,6,"[0, 880, 8, 143]","[293, 866, 46, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_006.jpg,"[{""variant"": ""current"", ""crop_box"": [293, 866, 46, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_006.jpg"", ""raw_text"": ""D669.3/LJE"", ""clean_text"": ""D669.3/LJE"", ""confidence"": 0.99526, ""parse_ok"": true, ""score"": 235.026, ""selected"": true}]"
7,D669.3/LJJ,D669.3/LJJ,0.9928,True,green,排序正确,7,"[0, 885, 8, 138]","[377, 866, 50, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_008.jpg,"[{""variant"": ""current"", ""crop_box"": [377, 866, 50, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_008.jpg"", ""raw_text"": ""D669.3/LJJ"", ""clean_text"": ""D669.3/LJJ"", ""confidence"": 0.992775, ""parse_ok"": true, ""score"": 234.778, ""selected"": true}]"
8,D669.3/LJJ1,D669.3/LJJ1,0.9861,True,green,排序正确,8,"[0, 880, 8, 151]","[407, 866, 50, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_009.jpg,"[{""variant"": ""current"", ""crop_box"": [407, 866, 50, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_009.jpg"", ""raw_text"": ""D669.3/LJJ1"", ""clean_text"": ""D669.3/LJJ1"", ""confidence"": 0.986093, ""parse_ok"": true, ""score"": 234.559, ""selected"": true}]"
9,D669.3/LJJ2,D669.3/LJJ2,0.9691,True,green,排序正确,9,"[0, 875, 8, 153]","[453, 866, 48, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_010.jpg,"[{""variant"": ""current"", ""crop_box"": [453, 866, 48, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_010.jpg"", ""raw_text"": ""D669.3/LJJ2"", ""clean_text"": ""D669.3/LJJ2"", ""confidence"": 0.969067, ""parse_ok"": true, ""score"": 232.857, ""selected"": true}]"
10,D669.3/LJJ5,D669.3/LJJ5,0.9940,True,green,排序正确,10,"[0, 885, 8, 154]","[517, 866, 43, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_011.jpg,"[{""variant"": ""current"", ""crop_box"": [517, 866, 43, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_011.jpg"", ""raw_text"": ""D669.3/LJJ5"", ""clean_text"": ""D669.3/LJJ5"", ""confidence"": 0.993983, ""parse_ok"": true, ""score"": 235.348, ""selected"": true}]"
11,D669.3/LJJ7,D669.3/LJJ7,0.9960,True,green,排序正确,11,"[0, 880, 8, 151]","[566, 866, 44, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_012.jpg,"[{""variant"": ""current"", ""crop_box"": [566, 866, 44, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_012.jpg"", ""raw_text"": ""D669.3/LJJ7"", ""clean_text"": ""D669.3/LJJ7"", ""confidence"": 0.995968, ""parse_ok"": true, ""score"": 235.547, ""selected"": true}]"
12,D669.3/LJJ8,D669.3/LJJ8,0.9960,True,green,排序正确,12,"[0, 876, 8, 157]","[627, 866, 44, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_013.jpg,"[{""variant"": ""current"", ""crop_box"": [627, 866, 44, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_013.jpg"", ""raw_text"": ""D669.3/LJJ8"", ""clean_text"": ""D669.3/LJJ8"", ""confidence"": 0.996038, ""parse_ok"": true, ""score"": 235.554, ""selected"": true}]"
13,D669.3/LJS,D669.3/LJS,0.9946,True,green,排序正确,13,"[0, 880, 8, 141]","[677, 866, 46, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_014.jpg,"[{""variant"": ""current"", ""crop_box"": [677, 866, 46, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_014.jpg"", ""raw_text"": ""D669.3/LJS"", ""clean_text"": ""D669.3/LJS"", ""confidence"": 0.99464, ""parse_ok"": true, ""score"": 234.964, ""selected"": true}]"
14,D669.3/LJS1,D669.3/LJS1,0.9937,True,green,排序正确,14,"[0, 889, 8, 138]","[734, 866, 43, 200]",stage5_mobile_results\final_demo_results\fine\IMG20260517094422\crops\ocr_crop_015.jpg,"[{""variant"": ""current"", ""crop_box"": [734, 866, 43, 200], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\IMG20260517094422\\crops\\ocr_crop_015.jpg"", ""raw_text"": ""D669.3/LJS1"", ""clean_text"": ""D669.3/LJS1"", ""confidence"": 0.993679, ""parse_ok"": true, ""score"": 235.318, ""selected"": true}]"
