actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669. 5/CW,D669.5/CW,0.6400,True,yellow,OCR 置信度较低,,"[64, 837, 1, 226]","[60, 837, 57, 226]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crop_retries\det_001_x_expand_10.jpg,"[{""variant"": ""current"", ""crop_box"": [64, 837, 49, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_001.jpg"", ""raw_text"": ""D669.5/CW "", ""clean_text"": ""D669.5/CW"", ""confidence"": 0.492454, ""parse_ok"": true, ""score"": 184.295, ""selected"": false}, {""variant"": ""crop_original"", ""crop_box"": [64, 837, 49, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_001_crop_original.jpg"", ""raw_text"": ""D669.5/CW "", ""clean_text"": ""D669.5/CW"", ""confidence"": 0.492454, ""parse_ok"": true, ""score"": 184.295, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [60, 837, 57, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_001_x_expand_10.jpg"", ""raw_text"": ""D669. 5/CW"", ""clean_text"": ""D669.5/CW"", ""confidence"": 0.64, ""parse_ok"": true, ""score"": 199.05, ""selected"": true}, {""variant"": ""expand_right_22"", ""crop_box"": [64, 837, 60, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_001_expand_right_22.jpg"", ""raw_text"": ""WK D669. 5/CW"", ""clean_text"": ""D669.5/CW"", ""confidence"": 0.64, ""parse_ok"": true, ""score"": 199.05, ""selected"": false}, {""variant"": ""expand_left_22"", ""crop_box"": [53, 837, 60, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_001_expand_left_22.jpg"", ""raw_text"": ""D669.5/CW"", ""clean_text"": ""D669.5/CW"", ""confidence"": 0.64, ""parse_ok"": true, ""score"": 199.05, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [64, 864, 49, 199], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_001_drop_top_red.jpg"", ""raw_text"": ""0669. 5/CW"", ""clean_text"": ""0669.5/CW"", ""confidence"": 0.64, ""parse_ok"": false, ""score"": 48.05, ""selected"": false}, {""variant"": ""neighbor_midline"", ""crop_box"": [64, 837, 47, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_001_neighbor_midline.jpg"", ""raw_text"": ""D669.5/CW"", ""clean_text"": ""D669.5/CW"", ""confidence"": 0.64, ""parse_ok"": true, ""score"": 199.05, ""selected"": false}]"
2,羊 + D669. 5/CXJ R,D669.5/CXJR,0.5975,True,yellow,OCR 置信度较低,,"[109, 837, 1, 226]","[109, 837, 49, 226]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_002.jpg,"[{""variant"": ""current"", ""crop_box"": [109, 837, 49, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_002.jpg"", ""raw_text"": ""羊 + D669. 5/CXJ R"", ""clean_text"": ""D669.5/CXJR"", ""confidence"": 0.597535, ""parse_ok"": true, ""score"": 195.703, ""selected"": true}, {""variant"": ""crop_original"", ""crop_box"": [109, 837, 49, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_002_crop_original.jpg"", ""raw_text"": ""羊 + D669. 5/CXJ R"", ""clean_text"": ""D669.5/CXJR"", ""confidence"": 0.597535, ""parse_ok"": true, ""score"": 195.703, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [105, 837, 57, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_002_x_expand_10.jpg"", ""raw_text"": ""4 D669.5/CXJ 羊 K"", ""clean_text"": ""D669.5/CXJK"", ""confidence"": 0.475938, ""parse_ok"": true, ""score"": 183.544, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [109, 864, 49, 199], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_002_drop_top_red.jpg"", ""raw_text"": ""羊 + 669 5/CXJ "", ""clean_text"": ""6695/CXJ"", ""confidence"": 0.632081, ""parse_ok"": false, ""score"": 46.808, ""selected"": false}, {""variant"": ""neighbor_midline"", ""crop_box"": [111, 837, 45, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_002_neighbor_midline.jpg"", ""raw_text"": ""羊 1 D669.5/CXJ 8"", ""clean_text"": ""D669.5/CXJ8"", ""confidence"": 0.504626, ""parse_ok"": true, ""score"": 186.413, ""selected"": false}]"
3,D669.5/DJQ,D669.5/DJQ,0.9978,True,green,排序正确,1,"[0, 850, 8, 120]","[159, 843, 41, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_003.jpg,"[{""variant"": ""current"", ""crop_box"": [159, 843, 41, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_003.jpg"", ""raw_text"": ""D669.5/DJQ"", ""clean_text"": ""D669.5/DJQ"", ""confidence"": 0.997777, ""parse_ok"": true, ""score"": 235.278, ""selected"": true}]"
4,南  D669.5/FJP ,D669.5/FJP,0.4995,True,yellow,OCR 置信度较低,,"[206, 837, 1, 226]","[202, 837, 57, 226]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crop_retries\det_004_x_expand_10.jpg,"[{""variant"": ""current"", ""crop_box"": [206, 837, 49, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_004.jpg"", ""raw_text"": ""座  D669.5/FJP"", ""clean_text"": ""D669.5/FJP"", ""confidence"": 0.427291, ""parse_ok"": true, ""score"": 178.229, ""selected"": false}, {""variant"": ""crop_original"", ""crop_box"": [206, 837, 49, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_004_crop_original.jpg"", ""raw_text"": ""座  D669.5/FJP"", ""clean_text"": ""D669.5/FJP"", ""confidence"": 0.427291, ""parse_ok"": true, ""score"": 178.229, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [202, 837, 57, 226], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_004_x_expand_10.jpg"", ""raw_text"": ""南  D669.5/FJP "", ""clean_text"": ""D669.5/FJP"", ""confidence"": 0.499492, ""parse_ok"": true, ""score"": 185.449, ""selected"": true}, {""variant"": ""drop_top_red"", ""crop_box"": [206, 864, 49, 199], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_004_drop_top_red.jpg"", ""raw_text"": ""南  0669 5/FJP"", ""clean_text"": ""06695/FJP"", ""confidence"": 0.64, ""parse_ok"": false, ""score"": 48.05, ""selected"": false}]"
5,D669.5/FXT1,D669.5/FXT1,0.9828,True,green,排序正确,2,"[0, 849, 8, 127]","[264, 843, 38, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_005.jpg,"[{""variant"": ""current"", ""crop_box"": [264, 843, 38, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_005.jpg"", ""raw_text"": ""D669.5/FXT1"", ""clean_text"": ""D669.5/FXT1"", ""confidence"": 0.982828, ""parse_ok"": true, ""score"": 234.233, ""selected"": true}]"
6,D669.5/FXY,D669.5/FXY,0.9631,True,green,排序正确,3,"[0, 850, 8, 125]","[317, 843, 39, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_006.jpg,"[{""variant"": ""current"", ""crop_box"": [317, 843, 39, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_006.jpg"", ""raw_text"": ""D669.5/FXY"", ""clean_text"": ""D669.5/FXY"", ""confidence"": 0.96314, ""parse_ok"": true, ""score"": 231.814, ""selected"": true}]"
7,D669.5/GR,D669.5/GR,0.9972,True,green,排序正确,4,"[0, 851, 8, 113]","[366, 843, 41, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_007.jpg,"[{""variant"": ""current"", ""crop_box"": [366, 843, 41, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_007.jpg"", ""raw_text"": ""D669.5/GR"", ""clean_text"": ""D669.5/GR"", ""confidence"": 0.997205, ""parse_ok"": true, ""score"": 234.771, ""selected"": true}, {""variant"": ""crop_original"", ""crop_box"": [366, 843, 41, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_007_crop_original.jpg"", ""raw_text"": ""D669. 5/GR"", ""clean_text"": ""D669.5/GR"", ""confidence"": 0.994168, ""parse_ok"": true, ""score"": 234.467, ""selected"": false}, {""variant"": ""x_expand_10"", ""crop_box"": [363, 843, 47, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_007_x_expand_10.jpg"", ""raw_text"": ""D669. 5/GR"", ""clean_text"": ""D669.5/GR"", ""confidence"": 0.994168, ""parse_ok"": true, ""score"": 234.467, ""selected"": false}, {""variant"": ""expand_right_22"", ""crop_box"": [366, 843, 50, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_007_expand_right_22.jpg"", ""raw_text"": ""D669. 5/GR"", ""clean_text"": ""D669.5/GR"", ""confidence"": 0.991887, ""parse_ok"": true, ""score"": 234.239, ""selected"": false}, {""variant"": ""expand_left_22"", ""crop_box"": [357, 843, 50, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_007_expand_left_22.jpg"", ""raw_text"": ""D669. 5/GR"", ""clean_text"": ""D669.5/GR"", ""confidence"": 0.994176, ""parse_ok"": true, ""score"": 234.468, ""selected"": false}, {""variant"": ""drop_top_red"", ""crop_box"": [366, 869, 41, 188], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crop_retries\\det_007_drop_top_red.jpg"", ""raw_text"": ""D669. 5/GR"", ""clean_text"": ""D669.5/GR"", ""confidence"": 0.99046, ""parse_ok"": true, ""score"": 234.096, ""selected"": false}]"
8,D669.5/GXY,D669.5/GXY,0.9938,True,green,排序正确,5,"[0, 860, 8, 119]","[413, 843, 37, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_008.jpg,"[{""variant"": ""current"", ""crop_box"": [413, 843, 37, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_008.jpg"", ""raw_text"": ""D669.5/GXY"", ""clean_text"": ""D669.5/GXY"", ""confidence"": 0.993826, ""parse_ok"": true, ""score"": 234.883, ""selected"": true}]"
9,D669.5/HHQ,D669.5/HHQ,0.9966,True,green,排序正确,6,"[0, 864, 8, 126]","[462, 843, 36, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_009.jpg,"[{""variant"": ""current"", ""crop_box"": [462, 843, 36, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_009.jpg"", ""raw_text"": ""D669.5/HHQ"", ""clean_text"": ""D669.5/HHQ"", ""confidence"": 0.996649, ""parse_ok"": true, ""score"": 235.165, ""selected"": true}]"
10,D669.5/HJF,D669.5/HJF,0.9962,True,green,排序正确,7,"[0, 866, 8, 127]","[510, 843, 39, 214]",stage5_mobile_results\final_demo_results\fine\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_010.jpg,"[{""variant"": ""current"", ""crop_box"": [510, 843, 39, 214], ""crop_path"": ""stage5_mobile_results\\final_demo_results\\fine\\c973e1dd854ad2be_IMG20260523100852\\crops\\ocr_crop_010.jpg"", ""raw_text"": ""D669.5/HJF"", ""clean_text"": ""D669.5/HJF"", ""confidence"": 0.9962, ""parse_ok"": true, ""score"": 235.12, ""selected"": true}]"
