actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669.3/SY 1,D669.3/SY1,0.9784,True,green,排序正确,1,"[0, 628, 8, 95]","[71, 623, 32, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_001.jpg,[]
2,D669.3/SY 2,D669.3/SY2,0.9770,True,green,排序正确,2,"[0, 636, 8, 94]","[101, 623, 33, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_002.jpg,[]
3,D669.3/SYP,D669.3/SYP,0.9971,True,green,排序正确,3,"[0, 643, 8, 86]","[129, 623, 31, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_003.jpg,[]
4,D669.3/SYQ,D669.3/SYQ,0.9909,True,green,排序正确,4,"[0, 641, 8, 86]","[172, 623, 32, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_004.jpg,[]
5,D669.3/SYQ1,D669.3/SYQ1,0.9956,True,green,排序正确,5,"[0, 637, 8, 91]","[198, 623, 33, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_005.jpg,[]
6,D669.3/SZF,D669.3/SZF,0.9899,True,green,排序正确,6,"[0, 631, 8, 85]","[237, 623, 29, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_006.jpg,[]
7,D669.3/SZH,D669.3/SZH,0.8504,True,green,排序正确,7,"[0, 622, 8, 105]","[283, 622, 33, 125]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_007.jpg,[]
8,D669.3/SZL1,D669.3/SZL1,0.9918,True,green,排序正确,8,"[0, 636, 8, 87]","[319, 623, 28, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_008.jpg,[]
9,D669.3/TB,D669.3/TB,0.9904,True,green,排序正确,9,"[0, 634, 8, 80]","[342, 623, 31, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_009.jpg,[]
10,D669.3/TBC,D669.3/TBC,0.9858,True,green,排序正确,10,"[0, 631, 8, 96]","[376, 623, 28, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_010.jpg,[]
11,D669.3/THY,D669.3/THY,0.9961,True,green,排序正确,11,"[0, 640, 8, 86]","[407, 623, 30, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_011.jpg,[]
12,D669.3/TJB,D669.3/TJB,0.9956,True,green,排序正确,12,"[0, 636, 8, 87]","[428, 623, 28, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_012.jpg,[]
13,D669.3/TJH,D669.3/TJH,0.9366,True,green,排序正确,13,"[0, 630, 8, 91]","[460, 623, 30, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_013.jpg,[]
14,D669.3/TJL,D669.3/TJL,0.9926,True,green,排序正确,14,"[0, 642, 8, 86]","[503, 623, 28, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_014.jpg,[]
15,D669.3/TJM,D669.3/TJM,0.9944,True,green,排序正确,15,"[0, 641, 8, 80]","[535, 623, 28, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_015.jpg,[]
16,D669.3/TM,D669.3/TM,0.9935,True,green,排序正确,16,"[0, 641, 8, 80]","[561, 623, 29, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_016.jpg,[]
17,D669.3/TN,D669.3/TN,0.9959,True,green,排序正确,17,"[0, 640, 8, 79]","[584, 623, 30, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_017.jpg,[]
18,D669.3/TQ,D669.3/TQ,0.9954,True,green,排序正确,18,"[0, 645, 8, 80]","[609, 623, 31, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_018.jpg,[]
19,D669.3/TQ1,D669.3/TQ1,0.9959,True,green,排序正确,19,"[0, 625, 8, 99]","[640, 623, 32, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_019.jpg,[]
20,D669.3/TRH,D669.3/TRH,0.9901,True,green,排序正确,20,"[0, 636, 8, 93]","[666, 623, 30, 124]",stage5_mobile_results\final_demo_results\standard\84f300ba8df684d9_IMG20260523100654\crops\ocr_crop_020.jpg,[]
