actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D092.7/WHW,D092.7/WHW,0.9914,True,green,排序正确,1,"[0, 750, 8, 153]","[54, 750, 45, 153]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_002.jpg
2,D092.7/WXQ,D092.7/WXQ,0.9818,True,green,排序正确,2,"[0, 753, 8, 148]","[103, 753, 48, 148]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_003.jpg
3,D092.7/WYH,D092.7/WYH,0.9884,True,green,排序正确,3,"[0, 748, 8, 157]","[157, 748, 44, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_001.jpg
4,D092.7/XCF,D092.7/XCF,0.9916,True,green,排序正确,4,"[0, 752, 8, 157]","[204, 752, 49, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_005.jpg
5,D092.7/XYP,D092.7/XYP,0.9858,True,green,排序正确,5,"[0, 764, 8, 146]","[252, 764, 42, 146]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_012.jpg
6,D092.7/XYP1,D092.7/XYP1,0.9718,True,green,排序正确,6,"[0, 760, 8, 152]","[292, 760, 40, 152]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_009.jpg
7,D092.7/YRZ,D092.7/YRZ,0.9318,True,green,排序正确,7,"[0, 761, 8, 147]","[335, 761, 42, 147]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_010.jpg
8,D092.7/ZLN,D092.7/ZLN,0.9841,True,green,排序正确,8,"[0, 753, 8, 147]","[365, 753, 44, 147]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_004.jpg
9,D092.7/ZSW,D092.7/ZSW,0.9877,True,green,排序正确,9,"[0, 760, 8, 142]","[414, 760, 41, 142]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_008.jpg
10,D092.7/ZWT,D092.7/ZWT,0.9931,True,green,排序正确,10,"[0, 763, 8, 146]","[468, 763, 37, 146]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_011.jpg
11,D092.7/ZY,D092.7/ZY,0.9903,True,green,排序正确,11,"[0, 773, 8, 132]","[516, 773, 40, 132]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_017.jpg
12,D092.7/ZYX,D092.7/ZYX,0.9841,True,green,排序正确,12,"[0, 773, 8, 142]","[554, 773, 39, 142]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\09021f6fdbce6834_IMG20260516094220__web_calib20260517_standard\crops\ocr_crop_021.jpg
