actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.2/FMJ,D669.2/FMJ,0.9909,True,green,排序正确,1,"[0, 657, 8, 195]","[0, 657, 53, 195]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_002.jpg
2,D669.2/FWH,D669.2/FWH,0.9936,True,green,排序正确,2,"[0, 649, 8, 215]","[54, 649, 60, 215]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_001.jpg
3,D669.2/GGH,D669.2/GGH,0.9942,True,green,排序正确,3,"[0, 661, 8, 192]","[114, 661, 55, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_004.jpg
4,D669.2/GMB,D669.2/GMB,0.9934,True,green,排序正确,4,"[0, 673, 8, 192]","[157, 673, 55, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_005.jpg
5,D669.2/GQ,D669.2/GQ,0.9952,True,green,排序正确,5,"[0, 680, 8, 170]","[209, 680, 51, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_006.jpg
6,D669.2/HJX,D669.2/HJX,0.9915,True,green,排序正确,6,"[0, 679, 8, 191]","[247, 679, 52, 191]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_007.jpg
7,D669.2/HXY1,D669.2/HXY1,0.9930,True,green,排序正确,7,"[0, 656, 8, 206]","[322, 656, 58, 206]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_003.jpg
8,D669.2/HYL,D669.2/HYL,0.9780,True,green,排序正确,8,"[0, 680, 8, 192]","[382, 680, 53, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_008.jpg
9,D669.2/HZY,D669.2/HZY,0.9906,True,green,排序正确,9,"[0, 680, 8, 190]","[433, 680, 47, 190]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_009.jpg
10,D669.2/JH,D669.2/JH,0.9769,True,green,排序正确,10,"[0, 689, 8, 171]","[468, 689, 46, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_011.jpg
11,D669.2/JJP,D669.2/JJP,0.9961,True,green,排序正确,11,"[0, 691, 8, 186]","[521, 691, 46, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_012.jpg
12,D669.2/JT,D669.2/JT,0.9946,True,green,排序正确,12,"[0, 703, 8, 171]","[563, 703, 46, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_017.jpg
13,D669.2/JXH1,D669.2/JXH1,0.9925,True,green,排序正确,13,"[0, 689, 8, 196]","[603, 689, 44, 196]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_013.jpg
14,D669.2/LBY,D669.2/LBY,0.9949,True,green,排序正确,14,"[0, 706, 8, 190]","[642, 706, 42, 190]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_022.jpg
15,D669.2/LCH,D669.2/LCH,0.9943,True,green,排序正确,15,"[0, 696, 8, 200]","[698, 696, 40, 200]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_015.jpg
16,D669-2/LGH,D669.2/LGH,0.9492,True,green,排序正确,16,"[0, 680, 8, 197]","[764, 680, 44, 197]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_010.jpg
17,D669.2/LJ,D669.2/LJ,0.9952,True,green,排序正确,17,"[0, 706, 8, 171]","[808, 706, 42, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\13c39095170a687d_IMG20260517094040__web_calib20260517_standard\crops\ocr_crop_021.jpg
