actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/LJ1,D669.3/LJ1,0.9714,True,green,排序正确,1,"[0, 853, 8, 211]","[6, 853, 48, 211]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_006.jpg
2,"D669,3/LJ2",D669.3/LJ2,0.9457,True,green,排序正确,2,"[0, 848, 8, 210]","[63, 848, 50, 210]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_003.jpg
3,D669.3/LJ4,D669.3/LJ4,0.9949,True,green,排序正确,3,"[0, 847, 8, 209]","[115, 847, 50, 209]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_001.jpg
4,D669.3/LJ5,D669.3/LJ5,0.9831,True,green,排序正确,4,"[0, 862, 8, 180]","[180, 862, 44, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_012.jpg
5,D669.3/LJD2,D669.3/LJD2,0.9952,True,green,排序正确,5,"[0, 860, 8, 210]","[233, 860, 50, 210]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_018.jpg
6,D669.3/LJE,D669.3/LJE,0.9953,True,green,排序正确,6,"[0, 859, 8, 185]","[294, 859, 44, 185]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_008.jpg
7,D669.3/LJJ,D669.3/LJJ,0.9928,True,green,排序正确,7,"[0, 864, 8, 180]","[378, 864, 47, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_014.jpg
8,D669.3/LJJ1,D669.3/LJJ1,0.9861,True,green,排序正确,8,"[0, 858, 8, 195]","[410, 858, 46, 195]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_010.jpg
9,D669.3/LJJ2,D669.3/LJJ2,0.9691,True,green,排序正确,9,"[0, 853, 8, 197]","[454, 853, 46, 197]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_004.jpg
10,D669.3/LJJ5,D669.3/LJJ5,0.9940,True,green,排序正确,10,"[0, 862, 8, 200]","[518, 862, 41, 200]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_019.jpg
11,D669.3/LJJ7,D669.3/LJJ7,0.9960,True,green,排序正确,11,"[0, 858, 8, 195]","[567, 858, 42, 195]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_011.jpg
12,D669.3/LJJ8,D669.3/LJJ8,0.9960,True,green,排序正确,12,"[0, 854, 8, 201]","[628, 854, 42, 201]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_005.jpg
13,D669.3/LJS,D669.3/LJS,0.9946,True,green,排序正确,13,"[0, 860, 8, 181]","[678, 860, 44, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_009.jpg
14,D669.3/LJS1,D669.3/LJS1,0.9937,True,green,排序正确,14,"[0, 868, 8, 180]","[735, 868, 41, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_020.jpg
15,D669.3/LL,D669.3/LL,0.9932,True,green,排序正确,15,"[0, 875, 8, 162]","[789, 875, 40, 162]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_022.jpg
16,D669.3/LL1,D669.3/LL1,0.9952,True,green,排序正确,16,"[0, 850, 8, 196]","[853, 850, 37, 196]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\2f90344396fba3f1_IMG20260517094422__web_calib20260517_standard\crops\ocr_crop_002.jpg
