actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.2/WXG,D669.2/WXG,0.9889,True,green,排序正确,1,"[0, 774, 8, 175]","[53, 774, 42, 175]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_018.jpg
2,D669.2/WY 2,D669.2/WY2,0.9587,True,green,排序正确,2,"[0, 764, 8, 197]","[117, 764, 47, 197]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_012.jpg
3,D669.2/WY 3,D669.2/WY3,0.9785,True,green,排序正确,3,"[0, 761, 8, 196]","[171, 761, 44, 196]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_009.jpg
4,D669.2/WYR,D669.2/WYR,0.9965,True,green,排序正确,4,"[0, 763, 8, 181]","[223, 763, 42, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_007.jpg
5,D669.2/WZW,D669.2/WZW,0.9517,True,green,排序正确,5,"[0, 755, 8, 201]","[284, 755, 38, 201]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_006.jpg
6,D669.2/WZX,D669.2/WZX,0.9773,True,green,排序正确,6,"[0, 767, 8, 180]","[341, 767, 41, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_013.jpg
7,D669.2/XJS1,D669.2/XJS1,0.9897,True,green,排序正确,7,"[0, 766, 8, 191]","[411, 766, 39, 191]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_014.jpg
8,D669.2/XMS,D669.2/XMS,0.9826,True,green,排序正确,8,"[0, 775, 8, 176]","[464, 775, 39, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_019.jpg
9,D669.2/XY 1,D669.2/XY1,0.9395,True,green,排序正确,9,"[0, 774, 8, 192]","[508, 774, 36, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_024.jpg
10,D669.2/YH,D669.2/YH,0.9959,True,green,排序正确,10,"[0, 779, 8, 162]","[549, 779, 38, 162]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_020.jpg
11,D669.2/YHB,D669.2/YHB,0.9927,True,green,排序正确,11,"[0, 772, 8, 180]","[593, 772, 39, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\49abb78802da7094_IMG20260517094139__web_calib20260517_standard\crops\ocr_crop_016.jpg
