actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/F,D669.3/F,0.9315,True,green,排序正确,1,"[0, 993, 8, 123]","[96, 993, 38, 123]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_003.jpg
2,D669.3,D669.3,0.9969,True,green,排序正确,2,"[0, 1002, 8, 113]","[251, 1002, 40, 113]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_008.jpg
3,D669.3,D669.3,0.9904,True,green,排序正确,3,"[0, 1005, 8, 109]","[294, 1005, 39, 109]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_010.jpg
4,D669.3/0,D669.3/0,0.9732,True,green,排序正确,4,"[0, 993, 8, 123]","[341, 993, 38, 123]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_004.jpg
5,D669,D669,0.9916,True,green,排序正确,5,"[0, 966, 8, 156]","[402, 966, 46, 156]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_001.jpg
6,D669,D669,0.9943,True,green,排序正确,6,"[0, 1016, 8, 80]","[728, 1016, 38, 80]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_012.jpg
7,D669.3,D669.3,0.9952,True,green,排序正确,7,"[0, 1001, 8, 114]","[830, 1001, 39, 114]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_006.jpg
8,D669.3,D669.3,0.9968,True,green,排序正确,8,"[0, 1000, 8, 113]","[919, 1000, 38, 113]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_005.jpg
9,D669,D669,0.9909,True,green,排序正确,9,"[0, 1022, 8, 80]","[968, 1022, 39, 80]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_014.jpg
10,D669.3,D669.3,0.9959,True,green,排序正确,10,"[0, 1011, 8, 102]","[1023, 1011, 38, 102]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_013.jpg
11,D669.3,D669.3,0.9890,True,green,排序正确,11,"[0, 1003, 8, 112]","[1151, 1003, 40, 112]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_009.jpg
12,D669.3,D669.3,0.9955,True,green,排序正确,12,"[0, 1001, 8, 114]","[1297, 1001, 40, 114]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_007.jpg
13,D6693,D6693,0.8119,True,green,排序正确,14,"[0, 971, 8, 151]","[1493, 971, 39, 151]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_002.jpg
14,D669.3,D669.3,0.9964,True,red,推荐位置应为 13,13,"[0, 1010, 8, 103]","[1558, 1010, 39, 103]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\66d6e69188f419a3_IMG20260517094323__web_calib20260517_standard\crops\ocr_crop_011.jpg
