actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/JYQ,D669.3/JYQ,0.9932,True,green,排序正确,1,"[0, 860, 8, 201]","[42, 860, 47, 201]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_003.jpg
2,D669.3/KW 1,D669.3/KW1,0.9932,True,green,排序正确,2,"[0, 878, 8, 180]","[98, 878, 103, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_014.jpg
3,D669.3/LB,D669.3/LB,0.9480,True,green,排序正确,3,"[0, 861, 8, 181]","[161, 861, 44, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_002.jpg
4,D669.3/LB2,D669.3/LB2,0.9967,True,green,排序正确,4,"[0, 858, 8, 215]","[212, 858, 43, 215]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_004.jpg
5,D669.3/LB 3,D669.3/LB3,0.9622,True,green,排序正确,5,"[0, 858, 8, 214]","[263, 858, 42, 214]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_005.jpg
6,D669.3/LBC,D669.3/LBC,0.9959,True,green,排序正确,6,"[0, 867, 8, 192]","[314, 867, 40, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_007.jpg
7,D669.3/LBK1,D669.3/LBK1,0.9866,True,green,排序正确,7,"[0, 854, 8, 209]","[374, 854, 39, 209]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_001.jpg
8,D669.3/LC,D669.3/LC,0.9966,True,green,排序正确,8,"[0, 869, 8, 176]","[429, 869, 42, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_006.jpg
9,D669.3/LCJ,D669.3/LCJ,0.9900,True,green,排序正确,9,"[0, 875, 8, 190]","[480, 875, 42, 190]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_012.jpg
10,D669.3/LCR,D669.3/LCR,0.9977,True,green,排序正确,10,"[0, 881, 8, 192]","[531, 881, 44, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\74296544060c922f_IMG20260517094402__web_calib20260517_standard\crops\ocr_crop_018.jpg
