actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/LP,D669.3/LP,0.9966,True,green,排序正确,1,"[0, 925, 8, 136]","[41, 925, 44, 136]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_021.jpg
2,D669.3/LPZ,D669.3/LPZ,0.9921,True,green,排序正确,2,"[0, 916, 8, 163]","[74, 916, 49, 163]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_017.jpg
3,D669.3/LPZ1,D669.3/LPZ1,0.9951,True,green,排序正确,3,"[0, 911, 8, 176]","[115, 911, 46, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_013.jpg
4,D669.3/LQ1,D669.3/LQ1,0.9967,True,green,排序正确,4,"[0, 910, 8, 186]","[181, 910, 43, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_015.jpg
5,D669.3/LQ3,D669.3/LQ3,0.9970,True,green,排序正确,5,"[0, 913, 8, 185]","[221, 913, 47, 185]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_020.jpg
6,D669.3/LQ4,D669.3/LQ4,0.9955,True,green,排序正确,6,"[0, 909, 8, 181]","[262, 909, 47, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_011.jpg
7,D669.3/LQY,D669.3/LQY,0.9977,True,green,排序正确,7,"[0, 919, 8, 166]","[296, 919, 49, 166]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_022.jpg
8,D669.3/LR,D669.3/LR,0.9956,True,green,排序正确,8,"[0, 929, 8, 151]","[348, 929, 46, 151]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_028.jpg
9,D669.3/LR1,D669.3/LR1,0.9917,True,green,排序正确,9,"[0, 908, 8, 182]","[387, 908, 45, 182]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_010.jpg
10,D669.3/LRY,D669.3/LRY,0.9943,True,green,排序正确,10,"[0, 921, 8, 167]","[436, 921, 46, 167]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_025.jpg
11,D669.3/LS,D669.3/LS,0.9953,True,green,排序正确,11,"[0, 927, 8, 151]","[490, 927, 42, 151]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_026.jpg
12,D669.3/LSM,D669.3/LSM,0.9781,True,green,排序正确,12,"[0, 930, 8, 166]","[560, 930, 42, 166]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_030.jpg
13,D669.3/LSQ,D669.3/LSQ,0.9936,True,green,排序正确,13,"[0, 919, 8, 166]","[603, 919, 46, 166]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_023.jpg
14,D669.3/LSY1,D669.3/LSY1,0.9973,True,green,排序正确,14,"[0, 909, 8, 180]","[654, 909, 41, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_012.jpg
15,D669.3/LT,D669.3/LT,0.9965,True,green,排序正确,15,"[0, 928, 8, 151]","[687, 928, 40, 151]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_027.jpg
16,D669.3/LT1,D669.3/LT1,0.9966,True,green,排序正确,16,"[0, 910, 8, 186]","[754, 910, 47, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_016.jpg
17,D669.3/LTL,D669.3/LTL,0.9955,True,green,排序正确,17,"[0, 922, 8, 151]","[806, 922, 41, 151]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_024.jpg
18,D669.3/LTT,D669.3/LTT,0.9968,True,green,排序正确,18,"[0, 914, 8, 163]","[859, 914, 39, 163]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_014.jpg
19,D669.3/LW,D669.3/LW,0.9917,True,green,排序正确,19,"[0, 933, 8, 148]","[919, 933, 40, 148]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\78cb562e1550f090_IMG20260517094431__web_calib20260517_standard\crops\ocr_crop_029.jpg
