actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/C7C1,D669.3/C7C1,0.9110,True,green,排序正确,1,"[0, 787, 8, 221]","[0, 787, 35, 221]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_002.jpg
2,D669.3/CZH,D669.3/CZH,0.9974,True,green,排序正确,2,"[0, 802, 8, 205]","[54, 802, 56, 205]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_008.jpg
3,D669.3/DBB,D669.3/DBB,0.9982,True,green,排序正确,3,"[0, 814, 8, 192]","[93, 814, 47, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_020.jpg
4,D669.3/DHJ,D669.3/DHJ,0.9965,True,green,排序正确,4,"[0, 804, 8, 204]","[128, 804, 55, 204]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_012.jpg
5,D669.3/DJM,D669.3/DJM,0.9946,True,green,排序正确,5,"[0, 805, 8, 206]","[185, 805, 52, 206]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_013.jpg
6,D669.3/DJW,D669.3/DJW,0.9920,True,green,排序正确,6,"[0, 779, 8, 245]","[251, 779, 53, 245]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_001.jpg
7,D669.3/DJW1,D669.3/DJW1,0.9961,True,green,排序正确,7,"[0, 799, 8, 226]","[301, 799, 56, 226]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_009.jpg
8,D669.3/DLY,D669.3/DLY,0.9964,True,green,排序正确,8,"[0, 807, 8, 200]","[360, 807, 46, 200]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_015.jpg
9,D669.3/DPP,D669.3/DPP,0.9961,True,green,排序正确,9,"[0, 800, 8, 204]","[403, 800, 47, 204]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_005.jpg
10,D669.3/DQ1,D669.3/DQ1,0.9960,True,green,排序正确,10,"[0, 798, 8, 230]","[459, 798, 54, 230]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_010.jpg
11,D669.3/DS,D669.3/DS,0.9971,True,green,排序正确,11,"[0, 810, 8, 185]","[520, 810, 42, 185]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_016.jpg
12,D669.3/DSL,D669.3/DSL,0.9977,True,green,排序正确,12,"[0, 801, 8, 204]","[560, 801, 44, 204]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_007.jpg
13,D669.3/DTT,D669.3/DTT,0.9979,True,green,排序正确,13,"[0, 813, 8, 206]","[616, 813, 46, 206]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_022.jpg
14,D669.3/DTT1,D669.3/DTT1,0.9986,True,green,排序正确,14,"[0, 800, 8, 221]","[698, 800, 47, 221]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_011.jpg
15,D669.3/DYL,D669.3/DYL,0.9981,True,green,排序正确,15,"[0, 818, 8, 200]","[755, 818, 42, 200]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_027.jpg
16,D669.3/DYN,D669.3/DYN,0.9983,True,green,排序正确,16,"[0, 812, 8, 195]","[797, 812, 42, 195]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_019.jpg
17,D669.3/FB,D669.3/FB,0.9957,True,green,排序正确,17,"[0, 810, 8, 181]","[870, 810, 39, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_014.jpg
18,D669.3/FCH,D669.3/FCH,0.9973,True,green,排序正确,18,"[0, 815, 8, 196]","[933, 815, 43, 196]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_023.jpg
19,D669.3/FF,D669.3/FF,0.9963,True,green,排序正确,19,"[0, 820, 8, 180]","[1007, 820, 41, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_024.jpg
20,D669.3/FFC,D669.3/FFC,0.9632,True,green,排序正确,20,"[0, 800, 8, 197]","[1058, 800, 44, 197]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_004.jpg
21,D669.3/FFZ,D669.3/FFZ,0.9992,True,green,排序正确,21,"[0, 816, 8, 180]","[1107, 816, 38, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_021.jpg
22,D669.3/FH 1,D669.3/FH1,0.0801,True,yellow,OCR 置信度较低,,"[0, 804, 8, 186]","[1165, 804, 146, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_006.jpg
23,D669.3/FHY,D669.3/FHY,0.9975,True,green,排序正确,22,"[0, 816, 8, 200]","[1229, 816, 46, 200]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_025.jpg
24,D669.3/FJG,D669.3/FJG,0.9943,True,green,排序正确,23,"[0, 816, 8, 201]","[1299, 816, 46, 201]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_026.jpg
25,D669.3/FL,D669.3/FL,0.9956,True,green,排序正确,24,"[0, 811, 8, 181]","[1366, 811, 46, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_017.jpg
26,D669.3/FL1,D669.3/FL1,0.9967,True,green,排序正确,25,"[0, 793, 8, 224]","[1410, 793, 48, 224]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_003.jpg
27,D669.3/FTT,D669.3/FTT,0.9922,True,green,排序正确,26,"[0, 809, 8, 192]","[1460, 809, 47, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_018.jpg
28,D669.3/FX,D669.3/FX,0.9957,True,green,排序正确,27,"[0, 834, 8, 177]","[1515, 834, 47, 177]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_029.jpg
29,D669.3/FY,D669.3/FY,0.9943,True,green,排序正确,28,"[0, 826, 8, 167]","[1545, 826, 49, 167]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\8e1583bd8436cde3_IMG20260517094312__web_calib20260517_standard\crops\ocr_crop_028.jpg
