actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/BWH,D669.3/BWH,0.9962,True,green,排序正确,1,"[0, 781, 8, 187]","[47, 781, 49, 187]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_008.jpg
2,D669.3/BWJ,D669.3/BWJ,0.9976,True,green,排序正确,2,"[0, 771, 8, 185]","[115, 771, 52, 185]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_004.jpg
3,D669.3/BWN,D669.3/BWN,0.9973,True,green,排序正确,3,"[0, 773, 8, 187]","[167, 773, 51, 187]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_005.jpg
4,D669.3/BWN1,D669.3/BWN1,0.9963,True,green,排序正确,4,"[0, 761, 8, 201]","[221, 761, 52, 201]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_002.jpg
5,D669.3/CC1,D669.3/CC1,0.9965,True,green,排序正确,5,"[0, 755, 8, 206]","[276, 755, 47, 206]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_001.jpg
6,D669.3/CCB,D669.3/CCB,0.9991,True,green,排序正确,6,"[0, 782, 8, 171]","[318, 782, 42, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_006.jpg
7,D669.3/CD,D669.3/CD,0.9984,True,green,排序正确,7,"[0, 788, 8, 158]","[363, 788, 42, 158]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_009.jpg
8,D669.3/CDJ,D669.3/CDJ,0.9987,True,green,排序正确,8,"[0, 788, 8, 170]","[398, 788, 44, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_010.jpg
9,D669.3/CF1,D669.3/CF1,0.9969,True,green,排序正确,9,"[0, 766, 8, 206]","[451, 766, 47, 206]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_003.jpg
10,D669.3/CFL,D669.3/CFL,0.9989,True,green,排序正确,10,"[0, 796, 8, 171]","[511, 796, 42, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\951570389a64e8d4_IMG20260517094303__web_calib20260517_standard\crops\ocr_crop_015.jpg
