actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/H [inferred 1],D669.3/H1,0.8000,True,green,排序正确,1,"[0, 967, 8, 157]","[0, 967, 34, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_007.jpg
2,D669.3/H [inferred 1],D669.3/H1,0.8000,True,green,排序正确,2,"[0, 962, 8, 162]","[116, 962, 45, 162]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_005.jpg
3,D669.3/H [inferred 1],D669.3/H1,0.8000,True,green,排序正确,3,"[0, 965, 8, 157]","[182, 965, 37, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_006.jpg
4,D669.3/HW [inferred 1],D669.3/HW1,0.8000,True,green,排序正确,4,"[0, 940, 8, 177]","[260, 940, 42, 177]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_001.jpg
5,D669.3/HW,D669.3/HW,0.9944,True,green,排序正确,5,"[0, 949, 8, 176]","[309, 949, 41, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_002.jpg
6,D669.3/1,D669.3/1,0.9878,True,green,排序正确,6,"[0, 974, 8, 147]","[348, 974, 41, 147]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_012.jpg
7,D669.3/H [inferred 1],D669.3/H1,0.8000,True,green,排序正确,7,"[0, 967, 8, 156]","[388, 967, 41, 156]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_008.jpg
8,D669.3/H [inferred 1],D669.3/H1,0.8000,True,green,排序正确,8,"[0, 961, 8, 162]","[436, 961, 39, 162]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_004.jpg
9,D669.3/H,D669.3/H,0.9619,True,green,排序正确,9,"[0, 981, 8, 138]","[494, 981, 39, 138]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_013.jpg
10,D669.3/H,D669.3/H,0.9935,True,green,排序正确,10,"[0, 969, 8, 152]","[550, 969, 39, 152]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_009.jpg
11,D669.3/1,D669.3/1,0.9931,True,green,排序正确,11,"[0, 973, 8, 147]","[605, 973, 38, 147]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_010.jpg
12,D669.3/1,D669.3/1,0.9531,True,green,排序正确,12,"[0, 973, 8, 147]","[654, 973, 43, 147]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_011.jpg
13,D669,D669,0.9945,True,green,排序正确,13,"[0, 1009, 8, 90]","[1060, 1009, 38, 90]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_017.jpg
14,D669,D669,0.9940,True,green,排序正确,14,"[0, 1009, 8, 94]","[1141, 1009, 38, 94]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_019.jpg
15,D669,D669,0.9951,True,green,排序正确,15,"[0, 1015, 8, 90]","[1202, 1015, 39, 90]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_020.jpg
16,D669.3,D669.3,0.9855,True,green,排序正确,16,"[0, 999, 8, 117]","[1252, 999, 40, 117]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_016.jpg
17,D669.3,D669.3,0.9946,True,green,排序正确,17,"[0, 990, 8, 128]","[1299, 990, 44, 128]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_014.jpg
18,D669,D669,0.9924,True,green,排序正确,18,"[0, 1008, 8, 93]","[1357, 1008, 40, 93]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_018.jpg
19,D669.3,D669.3,0.9956,True,green,排序正确,19,"[0, 991, 8, 127]","[1457, 991, 44, 127]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\95cb7cef784573d9_IMG20260517094334__web_calib20260517_standard\crops\ocr_crop_015.jpg
