actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/QLY,D669.3/QLY,0.9946,True,green,排序正确,1,"[0, 989, 8, 181]","[26, 989, 55, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_018.jpg
2,D669.3/QMH,D669.3/QMH,0.9959,True,green,排序正确,2,"[0, 988, 8, 176]","[80, 988, 53, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_017.jpg
3,D669.3/QQP,D669.3/QQP,0.9963,True,green,排序正确,3,"[0, 975, 8, 180]","[131, 975, 54, 180]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_016.jpg
4,D669.3/QZ,D669.3/QZ,0.9949,True,green,排序正确,4,"[0, 977, 8, 157]","[194, 977, 51, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_015.jpg
5,D669.3/QZ1,D669.3/QZ1,0.9939,True,green,排序正确,5,"[0, 948, 8, 191]","[276, 948, 53, 191]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_013.jpg
6,D669.3/RDJ,D669.3/RDJ,0.9971,True,green,排序正确,6,"[0, 956, 8, 161]","[348, 956, 48, 161]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_014.jpg
7,D669.3/RGJ,D669.3/RGJ,0.9956,True,green,排序正确,7,"[0, 951, 8, 172]","[396, 951, 50, 172]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_011.jpg
8,D669.3/RZW,D669.3/RZW,0.9888,True,green,排序正确,8,"[0, 946, 8, 171]","[456, 946, 47, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_010.jpg
9,D669.3/RYX,D669.3/RYX,0.9950,True,green,排序正确,9,"[0, 951, 8, 171]","[521, 951, 48, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_012.jpg
10,D669.3/RZZ,D669.3/RZZ,0.9499,True,green,排序正确,10,"[0, 915, 8, 214]","[583, 915, 47, 214]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_005.jpg
11,D669.3/SCM,D669.3/SCM,0.9912,True,green,排序正确,11,"[0, 926, 8, 172]","[632, 926, 47, 172]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_008.jpg
12,D669.3/SDC,D669.3/SDC,0.9973,True,green,排序正确,12,"[0, 934, 8, 170]","[687, 934, 42, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_009.jpg
13,D669.3/SDL,D669.3/SDL,0.9970,True,green,排序正确,13,"[0, 925, 8, 170]","[748, 925, 43, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_007.jpg
14,D669.3/SDL1,D669.3/SDL1,0.9967,True,green,排序正确,14,"[0, 908, 8, 186]","[805, 908, 49, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_001.jpg
15,D669.3/SGL,D669.3/SGL,0.9983,True,green,排序正确,15,"[0, 924, 8, 170]","[873, 924, 40, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_006.jpg
16,D669.3/SH,D669.3/SH,0.9983,True,green,排序正确,16,"[0, 920, 8, 146]","[929, 920, 41, 146]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_004.jpg
17,D669.3/SHG,D669.3/SHG,0.9968,True,green,排序正确,17,"[0, 914, 8, 157]","[973, 914, 35, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_002.jpg
18,D669.3/SL,D669.3/SL,0.9949,True,green,排序正确,18,"[0, 916, 8, 148]","[1147, 916, 37, 148]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\c4f3100dc303bace_IMG20260517094708__web_calib20260517_standard\crops\ocr_crop_003.jpg
