actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.2/LYB,D669.2/LYB,0.9920,True,green,排序正确,1,"[0, 743, 8, 170]","[1, 743, 47, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_005.jpg
2,D669.2/LYK,D669.2/LYK,0.9954,True,green,排序正确,2,"[0, 754, 8, 157]","[42, 754, 42, 157]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_008.jpg
3,D669.2/LYN,D669.2/LYN,0.9953,True,green,排序正确,3,"[0, 747, 8, 170]","[103, 747, 45, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_006.jpg
4,D669.2/LYX,D669.2/LYX,0.9936,True,green,排序正确,4,"[0, 737, 8, 170]","[153, 737, 47, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_001.jpg
5,D669.2/MFJ,D669.2/MFJ,0.9941,True,green,排序正确,5,"[0, 744, 8, 161]","[196, 744, 43, 161]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_003.jpg
6,D669.2/MJ,D669.2/MJ,0.9956,True,green,排序正确,6,"[0, 753, 8, 143]","[236, 753, 39, 143]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_007.jpg
7,D669.2/MQJ,D669.2/MQJ,0.9888,True,green,排序正确,7,"[0, 754, 8, 156]","[264, 754, 39, 156]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_009.jpg
8,D669.2/MR2,D669.2/MR2,0.9891,True,green,排序正确,8,"[0, 741, 8, 170]","[310, 741, 37, 170]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_002.jpg
9,D669.3/NCJ,D669.3/NCJ,0.9941,True,green,排序正确,9,"[0, 744, 8, 161]","[367, 744, 43, 161]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_004.jpg
10,D669.2/0YJ,D669.2/OYJ,0.9828,True,green,排序正确,10,"[0, 763, 8, 153]","[407, 763, 40, 153]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_015.jpg
11,D669.2/QFX,D669.2/QFX,0.9923,True,green,排序正确,11,"[0, 759, 8, 163]","[449, 759, 38, 163]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_013.jpg
12,D669.2/QJ,D669.2/QJ,0.9446,True,green,排序正确,12,"[0, 763, 8, 146]","[513, 763, 40, 146]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_014.jpg
13,D669.2/RJ,D669.2/RJ,0.9965,True,green,排序正确,13,"[0, 770, 8, 146]","[567, 770, 38, 146]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_023.jpg
14,D669.2/SH,D669.2/SH,0.9986,True,green,排序正确,14,"[0, 772, 8, 133]","[602, 772, 36, 133]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f4abebd44362efca_IMG20260517094107__web_calib20260517_standard\crops\ocr_crop_022.jpg
