actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/LXB1,D669.3/LXB1,0.9946,True,green,排序正确,1,"[0, 883, 8, 190]","[26, 883, 49, 190]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_024.jpg
2,D669.3/LXD,D669.3/LXD,0.9970,True,green,排序正确,2,"[0, 888, 8, 175]","[83, 888, 46, 175]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_026.jpg
3,D669.3/LXF1,D669.3/LXF1,0.9761,True,green,排序正确,3,"[0, 887, 8, 187]","[140, 887, 47, 187]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_027.jpg
4,D669.3/LXH,D669.3/LXH,0.9963,True,green,排序正确,4,"[0, 898, 8, 172]","[198, 898, 44, 172]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_029.jpg
5,D669.3/LXJ,D669.3/LXJ,0.9959,True,green,排序正确,5,"[0, 888, 8, 167]","[240, 888, 41, 167]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_025.jpg
6,D669.3/LXJ1,D669.3/LXJ1,0.9945,True,green,排序正确,6,"[0, 875, 8, 182]","[286, 875, 39, 182]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_008.jpg
7,D669.3/LXL,D669.3/LXL,0.9972,True,green,排序正确,7,"[0, 878, 8, 172]","[330, 878, 44, 172]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_010.jpg
8,D669.3/LXL1,D669.3/LXL1,0.9959,True,green,排序正确,8,"[0, 875, 8, 186]","[388, 875, 45, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_011.jpg
9,D669.3/LXL2,D669.3/LXL2,0.9944,True,green,排序正确,9,"[0, 890, 8, 176]","[437, 890, 42, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_028.jpg
10,D669.3/LXM1,D669.3/LXM1,0.9965,True,green,排序正确,10,"[0, 883, 8, 181]","[482, 883, 45, 181]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_022.jpg
11,D669.3/LXP1,D669.3/LXP1,0.9727,True,green,排序正确,11,"[0, 882, 8, 187]","[535, 882, 47, 187]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_023.jpg
12,D669.3/LXQ,D669.3/LXQ,0.9869,True,green,排序正确,12,"[0, 881, 8, 175]","[593, 881, 40, 175]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_016.jpg
13,D669.3/LXX,D669.3/LXX,0.9740,True,green,排序正确,13,"[0, 883, 8, 172]","[641, 883, 40, 172]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_019.jpg
14,D669.3/LXX1,D669.3/LXX1,0.9967,True,green,排序正确,14,"[0, 881, 8, 177]","[684, 881, 41, 177]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\f95c31893d00f5c2_IMG20260517094437__web_calib20260517_standard\crops\ocr_crop_017.jpg
