actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.2/ZGJ,D669.2/ZGJ,0.9530,True,green,排序正确,1,"[0, 848, 8, 172]","[0, 848, 33, 172]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_014.jpg
2,D669.2/ZGJ,D669.2/ZGJ,0.9857,True,green,排序正确,2,"[0, 817, 8, 216]","[32, 817, 47, 216]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_001.jpg
3,D669.2/ZGJ1,D669.2/ZGJ1,0.9634,True,green,排序正确,3,"[0, 830, 8, 192]","[94, 830, 44, 192]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_004.jpg
4,D669.2/ZGJ2,D669.2/ZGJ2,0.9408,True,green,排序正确,4,"[0, 825, 8, 196]","[145, 825, 46, 196]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_002.jpg
5,D669.2/ZGQ,D669.2/ZGQ,0.9971,True,green,排序正确,5,"[0, 841, 8, 176]","[205, 841, 46, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_008.jpg
6,D669.2/ZHM,D669.2/ZHM,0.9832,True,green,排序正确,6,"[0, 846, 8, 176]","[267, 846, 42, 176]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_011.jpg
7,D669.2/7JY,D669.2/7JY,0.8404,True,green,排序正确,7,"[0, 832, 8, 197]","[321, 832, 40, 197]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_005.jpg
8,D669.2/ZLM,D669.2/ZLM,0.9841,True,green,排序正确,8,"[0, 857, 8, 175]","[367, 857, 39, 175]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_025.jpg
9,D669.2/ZLM1,D669.2/ZLM1,0.9919,True,green,排序正确,9,"[0, 837, 8, 182]","[407, 837, 40, 182]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_006.jpg
10,D669.2/ZM1,D669.2/ZM1,0.9914,True,green,排序正确,10,"[0, 828, 8, 191]","[460, 828, 39, 191]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_003.jpg
11,D669.2/ZQR,D669.2/ZQR,0.9954,True,green,排序正确,11,"[0, 853, 8, 171]","[514, 853, 37, 171]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_023.jpg
12,D669.2/ZWX,D669.2/ZWX,0.9853,True,green,排序正确,12,"[0, 849, 8, 166]","[559, 849, 34, 166]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_015.jpg
13,D669.2/ZWX1,D669.2/ZWX1,0.9899,True,green,排序正确,13,"[0, 836, 8, 190]","[596, 836, 38, 190]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_007.jpg
14,D669.2/ZXJ2,D669.2/ZXJ2,0.9591,True,green,排序正确,14,"[0, 848, 8, 186]","[634, 848, 36, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_020.jpg
15,D669.2/ZXJ3,D669.2/ZXJ3,0.9371,True,green,排序正确,15,"[0, 839, 8, 190]","[673, 839, 42, 190]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_009.jpg
16,D669.2/7XQ2,D669.2/7XQ2,0.9607,True,green,排序正确,16,"[0, 847, 8, 187]","[725, 847, 40, 187]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_019.jpg
17,D669.2/ZXQ4,D669.2/ZXQ4,0.9604,True,green,排序正确,17,"[0, 848, 8, 186]","[767, 848, 38, 186]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_021.jpg
18,D669.2/ZXX,D669.2/ZXX,0.9749,True,green,排序正确,18,"[0, 860, 8, 167]","[811, 860, 37, 167]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_028.jpg
19,D669.2/ZXX1,D669.2/ZXX1,0.9515,True,green,排序正确,19,"[0, 847, 8, 175]","[864, 847, 41, 175]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_016.jpg
20,D669.2/ZY,D669.2/ZY,0.9878,True,green,排序正确,20,"[0, 861, 8, 156]","[932, 861, 40, 156]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\fbbd39f4bbc6dd47_IMG20260517094231__web_calib20260517_standard\crops\ocr_crop_026.jpg
