actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D092.7/WHW,D092.7/WHW,0.9901,True,green,排序正确,1,"[0, 563, 8, 114]","[39, 563, 37, 114]",train_final\IMG20260516094220\crops\ocr_crop_001.jpg
2,D092.7/WXQ,D092.7/WXQ,0.9738,True,green,排序正确,2,"[0, 564, 8, 112]","[74, 564, 41, 112]",train_final\IMG20260516094220\crops\ocr_crop_002.jpg
3,D092.7/WYH,D092.7/WYH,0.9903,True,green,排序正确,3,"[0, 568, 8, 109]","[116, 568, 36, 109]",train_final\IMG20260516094220\crops\ocr_crop_005.jpg
4,D092.7/XCF,D092.7/XCF,0.9901,True,green,排序正确,4,"[0, 567, 8, 114]","[151, 567, 39, 114]",train_final\IMG20260516094220\crops\ocr_crop_006.jpg
5,D092.7/XYP,D092.7/XYP,0.9803,True,green,排序正确,5,"[0, 572, 8, 112]","[186, 572, 37, 112]",train_final\IMG20260516094220\crops\ocr_crop_011.jpg
6,D092.7/XYP1,D092.7/XYP1,0.9857,True,green,排序正确,6,"[0, 570, 8, 114]","[216, 570, 36, 114]",train_final\IMG20260516094220\crops\ocr_crop_009.jpg
7,D092.7/YRZ,D092.7/YRZ,0.9611,True,green,排序正确,7,"[0, 572, 8, 109]","[249, 572, 36, 109]",train_final\IMG20260516094220\crops\ocr_crop_010.jpg
8,D092.7/ZLN,D092.7/ZLN,0.9817,True,green,排序正确,8,"[0, 566, 8, 108]","[272, 566, 36, 108]",train_final\IMG20260516094220\crops\ocr_crop_003.jpg
9,D092.7/ZSW,D092.7/ZSW,0.9898,True,green,排序正确,9,"[0, 570, 8, 107]","[309, 570, 33, 107]",train_final\IMG20260516094220\crops\ocr_crop_008.jpg
10,D092.7/ZWT,D092.7/ZWT,0.9917,True,green,排序正确,10,"[0, 573, 8, 108]","[348, 573, 34, 108]",train_final\IMG20260516094220\crops\ocr_crop_012.jpg
11,D092.7/ZY,D092.7/ZY,0.9921,True,green,排序正确,11,"[0, 580, 8, 98]","[385, 580, 34, 98]",train_final\IMG20260516094220\crops\ocr_crop_017.jpg
12,D092.7/ZYX,D092.7/ZYX,0.9893,True,green,排序正确,12,"[0, 579, 8, 108]","[413, 579, 34, 108]",train_final\IMG20260516094220\crops\ocr_crop_020.jpg
13,D092.7-53/DCD,D092.7-53/DCD,0.9911,True,green,排序正确,13,"[0, 561, 8, 138]","[444, 561, 32, 138]",train_final\IMG20260516094220\crops\ocr_crop_004.jpg
14,D093.1/DBH,D093.1/DBH,0.9825,True,green,排序正确,14,"[0, 576, 8, 107]","[486, 576, 31, 107]",train_final\IMG20260516094220\crops\ocr_crop_014.jpg
15,D093.1-53/TLG,D093.1-53/TLG,0.9982,True,green,排序正确,15,"[0, 565, 8, 127]","[520, 565, 28, 127]",train_final\IMG20260516094220\crops\ocr_crop_007.jpg
16,D093.12/TVM,D093.12/TVM,0.9967,True,green,排序正确,16,"[0, 577, 8, 108]","[573, 577, 29, 108]",train_final\IMG20260516094220\crops\ocr_crop_016.jpg
17,D093.13/BGX,D093.13/BGX,0.9891,True,green,排序正确,17,"[0, 576, 8, 118]","[626, 576, 31, 118]",train_final\IMG20260516094220\crops\ocr_crop_018.jpg
18,D093.13/GW,D093.13/GW,0.9925,True,green,排序正确,18,"[0, 583, 8, 108]","[660, 583, 33, 108]",train_final\IMG20260516094220\crops\ocr_crop_027.jpg
19,D093.13/MSZ,D093.13/MSZ,0.9915,True,green,排序正确,19,"[0, 577, 8, 119]","[699, 577, 32, 119]",train_final\IMG20260516094220\crops\ocr_crop_021.jpg
20,D093.13/SDF,D093.13/SDF,0.9939,True,green,排序正确,20,"[0, 577, 8, 118]","[730, 577, 34, 118]",train_final\IMG20260516094220\crops\ocr_crop_022.jpg
21,D093.13/WSZ-1,D093.13/WSZ-1,0.9960,True,green,排序正确,21,"[0, 567, 8, 137]","[778, 567, 33, 137]",train_final\IMG20260516094220\crops\ocr_crop_013.jpg
22,D093.13/XSY,D093.13/XSY,0.9710,True,green,排序正确,22,"[0, 580, 8, 117]","[819, 580, 34, 117]",train_final\IMG20260516094220\crops\ocr_crop_025.jpg
23,D093.134/GC,D093.134/GC,0.9961,True,green,排序正确,23,"[0, 577, 8, 119]","[882, 577, 34, 119]",train_final\IMG20260516094220\crops\ocr_crop_023.jpg
24,D093.134/LT,D093.134/LT,0.9591,True,green,排序正确,24,"[0, 578, 8, 117]","[948, 578, 32, 117]",train_final\IMG20260516094220\crops\ocr_crop_024.jpg
25,D093.134/XJZ,D093.134/XJZ,0.9917,True,green,排序正确,25,"[0, 571, 8, 132]","[1007, 571, 39, 132]",train_final\IMG20260516094220\crops\ocr_crop_015.jpg
26,D093.135/LL,D093.135/LL,0.9701,True,green,排序正确,26,"[0, 576, 8, 118]","[1071, 576, 38, 118]",train_final\IMG20260516094220\crops\ocr_crop_019.jpg
27,D093.135/QJ,D093.135/QJ,0.9941,True,green,排序正确,27,"[0, 580, 8, 119]","[1111, 580, 36, 119]",train_final\IMG20260516094220\crops\ocr_crop_026.jpg
